Date,National Whatever Day,Associated Challenge,,,,,Resources: description,Resources: link
7-Aug,Particularly Preposterous Packaging Day,Buy something on amazon ;),,,,,,
8-Aug,Sneak Some Zucchini On Your Neighbor's Porch Night/ International Cat Day,...Sneak some zucchini on your neighbor's porch; especially if they have a cat.,,,,,,
9-Aug,National Hand Holding Day,"Hold someone's hand today, don't tell them why.",,,,,,
10-Aug,National S'mores Day and National Lazy Day,Sit around eating s'mores all day.,,,,,,
11-Aug,Play In The Sand Day,Go to the beach and play in the sand.,,,,,,
12-Aug,World Elephant Day,Learn one new fact about elephants today.,,,,,,
13-Aug,International Left Handers Day,Swap dominant hands today.,,,,,,
14-Aug,National Creamsicle Day,Eat a Creamsicle!,,,,,,
15-Aug,National Faliures Day,Remember one time you've failed and how you've grown from it.,,,,,,
16-Aug,National Bratwurst Day,Make some homemade brats!,,,,,Bratwurst Recipes,http://allrecipes.com/recipes/16547/meat-and-poultry/sausage/bratwurst/
17-Aug,National Thrift Shop Day,Buy something at a thrift store today.,,,,,,
18-Aug,Bad Poetry Day,"Give someone the gift of horrible poetry, written by you.",,,,,,
19-Aug,National Potato Day,Make some mashed potatoes from scratch! (It's harder than it looks.),,,,,,
20-Aug,National Radio Day,"Listen to the radio, on an actual radio. (not your phone!)",,,,,,
21-Aug,Senior Citizen Day,Thank a senior citizen.,,,,,,
22-Aug,National Be An Angel Day,"Be the nicest you can be, all day. ",,,,,,
23-Aug,Ride The Wind Day,Fly a kite!,,,,,,
24-Aug,Weather Complaint Day,"Complain about the weather to everyone you know, even if it's a nice day.",,,,,,
25-Aug,Kiss And Make Up Day,Forgive someone.,,,,,,
26-Aug,National Dog Day!,"Pet every good dog you see, especially if you have one.",,,,,,
27-Aug,National Banana Lovers Day,Tell a stranger how much you love bananas.,,,,,,
28-Aug,International Read Comics In Public Day,Read a comic book in a crowded place.,,,,,,
29-Aug,Lemon Juice Day,Make lemonade!,,,,,,
30-Aug,Slinky Day,Push a slinky down the stairs.,,,,,,
31-Aug,We Love Memoirs Day,Read a memoir.,,,,,,
1-Sep,National Chicken Boy Day,"Have Fried Chicken(If vegetarian, have an omelette. If vegan or otherwise, go to 4-H)",,,,,,
2-Sep,National Blueberry Popsicle Day,"Have a blueberry popsicle!(If not available, just have a popsicle and/or something Blueberry flavored)",,,,,,
3-Sep,National US Bowling League Day,Grab some friends and go bowling!,,,,,,
4-Sep,National Newspaper Carrier Day,Read an entire section of a newspaper(It can be the comics),,,,,,
5-Sep,Be Late for Something Day,Show up 10 minutes late to something and give the most random excuse you can think of.,,,,,,
6-Sep,Fight Procrastination Day,Finish something you've been working on for a while but haven't had the motivation to do(you definitely have something like this and you know what I'm talking about),,,,,,
7-Sep,Google Commemoration Day/National Acorn Squash Day,Google 10 of the most random items you can think of OR have some delightful acorn squash.,,,,,,
8-Sep,International Literacy Day,"Read a book, a short story, or an article that normally isn't your type of reading.",,,,,,
9-Sep,Teddy Bear Day,Cuddle with some stuffed animals!(people may/may not be included in these cuddles),,,,,,
10-Sep,National Blame it on the Large Hadron Collider Day/National Hot Dog Day,Eat Hot Dogs for all three meals and/or curse the large hadron collider out loud in public at least 5 times and refuse to explain why to anyone who asks.,,,,,,
11-Sep,9/11 Memorial,Have a moment of silence/pay respect to the victims of 9/11 in your own way.,,,,,,
12-Sep,National Chocolate Milkshake Day,"Make a chocolate milkshake and add one ingredient for a flavor twist. For fun, have a competition with your friends to see who can find the best combination!",,,,,,
13-Sep,Defy Superstition Day,Walk under a ladder while holding a black cat(bonus points for breaking a mirror),,,,,,
14-Sep,National Cream-filled donut day,Either: make your own cream-filled donuts OR buy a bunch of cream-filled donuts and share them witheither people you know or strangers,,,,,,
15-Sep,Felt Hat Day,Wear a felt hat all day and customize it to your liking,,,,,,
16-Sep,National Guacamole Day,Have avacado three different ways.,,,,,,
17-Sep,National Apple Dumpling Day,"Make or buy a bunch of different dumplings and then, through a blind taste test, see if you can identify the apple dumplings.",,,,,,
18-Sep,National Play-Doh Day,"Buy a bunch of play-doh and sculpt something, then show it to your friends and convince them play-doh sculpting is your new passion in life, and you intend to make a living out of it.",,,,,,
19-Sep,Talk like a Pirate Day,Talk like a pirate for the entire day. Bonus points if you add in a costume!,,,,,,
20-Sep,National Punch Day,Choose 5 random fruits and make a punch!(For 21 and over- choose 1-3 alcohols at random to spike it with),,,,,,
21-Sep,International Banana Festival,"Carry a banana with you and make as many banana jokes as you can all day(bonus points for the ""orange you glad I didn't say banana"" joke)",,,,,,
22-Sep,Hobbit Day,"Either: Lord Of The Rings marathon or dress up as your favorite hobbit all day, carry a pipe around, and speak only in LOTR quotes.",,,,,,
23-Sep,National Checkers Day,Either: play a grand checkers tournament with your frineds OR convince people to play a large game of human checkers.,,,,,,
24-Sep,Festival of the Latest Novelties,"Go to amazon and type in a broad category you like(dogs, metallica, etc.). Then, click on a random novelty item. Then from that random item, click on one of the reccommended items. Do this 6 times until you come across a random item. Then, purchase it(unless it's wicked expensive). Do this as many times as you like!",,,,,,
25-Sep,National Comic Book Day,Dress as your favorite comic book character and/or have a comic book movie binge and/or do a neila rey superhero themed workout.,,,,,,
26-Sep,National Good Neighbor Day and National Pancake Day,"Give your neighbors some pancakes! Or invite them over, and have pancakes together.",,,,,,
27-Sep,Crush a Can Day and National World Tourism Day,"Drink something out of a can that seems as though it is from a foreign country. Then, crush that can.",,,,,,
28-Sep,Ask a Stupid Question Day,Ask at least 20 stupid questions to 20 people(bonus points for asking strangers),,,,,,
29-Sep,Broadway Musicals Day and Confucius Day,Watch a Broadway Musical(or a bootleg online) and then connect the moral message to one of Confucius' teachings(the more pretentious the better).,,,,,,
30-Sep,Chewing Gum Day,Try 3 different flavors of gum and vote among your frinds to see which is the champion(bonus for trying all three at once).,,,,,,
1-Oct,World Vegetarian Day,Try something Vegetarian that you normally wouldn't(like a vegetarian hamburger).,,,,,,
2-Oct,Name your car day,"Name your car(if you haven't already) and then write the name on one of those ""hello, my name is:"" stickers. Then put this somewhere in your car for all to see.",,,,,,
3-Oct,National techies day and National Look at the Leaves Day,Try to learn how to code and/or appreciate some fall foliage in your area!,,,,,,
4-Oct,National Golf Day,Play a round of golf with someone you know who loves golf and/or watch a golf competition(live or tv- bonus points for staying awake through the entire competition),,,,,,
5-Oct,World Teachers Day and Do Something Nice Day,"Do something nice for a teacher of yours, or someone who has taught you something in your life. Make it personal to them and show how much you appreciate them.",,,,,,
6-Oct,Garlic Lovers Day and National Noodle Day,Make a fancy noodle recipie that has garlic in it(bonus points if there is more garlic than noodle),,,,,,
7-Oct,National Flower Day and National Frappe Day and National Bath Day,"Treat yo-self! Get/make a delicious frappe, arrange a nice bouquet for a centerpiece and/or just to have nearby, and take a bubble bath.",,,,,,
8-Oct,World Octopus Day,Try to eat something with octopus in it OR go to an aquarium!,,,,,,
9-Oct,National Sneakers day and National Moldy Cheese Day,"Get the dirtiest sneakers you can find and put some moldy cheese in it. Then, either put it in a bag and dare people to small it and guess what it is OR you have to smell it.",,,,,,
10-Oct,World Mental Health Day and National Angel Food Cake Day,Get some Angel Food Cake and share it with someone you know who has been having a tough time lately,,,,,,
11-Oct,National It's My Party Day,"Have a party! It can be big or small, but either have some people over or get a group to go out. Either way, go have fun!",,,,,,
12-Oct,International Moment Of Frustration Scream Day,"Whenever you feel frustrated, just let out a scream. Encourage others to join in as will.",,,,,,
13-Oct,Freethought Day,"Say everything that comes to your head, no matter what. Especially if it's awkward.",,,,,,
14-Oct,Be Bald and Free Day and National Dessert Day,"Wear a bald cap and give dessert to all the bald people you know in your life. If you are bald, then go get yur favorite dessert:)",,,,,,
15-Oct,White Cane Safety Day,"Visit someone you know who is blind or visually impaired and help them for the day. If you don't know anyone like that, then donate to an organisation for the visually impaired.",,,,,,
16-Oct,Dictionary Day,"Look up 4 random words in the dictionary that you dont already know. Then, use them at some point in the day.",,,,,,
17-Oct,Gaudy Day,"Wear at least 12 gaudy accessories, and when someone asks you about it, say ""you wish you looked this fabulous""",,,,,,
18-Oct,No Beard Day,"If you have a beard, shave it. If you don't have a beard. or cannot shave it for religious or otherwise reasons, wear a fake beard and pretend to shave that.",,,,,,
19-Oct,Evaluate your Life Day,"Evaluate your life, and how happy you currently are. See if there's anything you would want to change. If so, pick one, and try to outline a realistic process for achieving it.",,,,,,
20-Oct,National Suspenders Day,Wear as many suspenders as you can!,,,,,,
21-Oct,Apple Day and Celebration of the Mind Day,"Read something about apples, and eat as many apple flavored things as you can.",,,,,,
22-Oct,National Nut Day,"Try as many different nuts as you can. If you are allergic, rate every nut you can find on appearance and make a scale of nut attractiveness.",,,,,,
23-Oct,National Boston Cream Pie Day,"Take 2 Boston Cream Pies. Throw one in someone's face, and share the other with friends.",,,,,,
24-Oct,National Bologna Day,"Take a slice of bologna and eat 3 holes, 2 for your eyes and 1 for your mouth. Wear it as long as you can without anyone saying anything.",,,,,,
25-Oct,Punk for a Day Day,Dress as punk rock-y as you can! Colorful hair extentions are a must.,,,,,,
26-Oct,National Pumpkin Day,"Carve a bunch of pumpkins and leave them all around in conspicuous places, but don't tell anyone about it.",,,,,,
27-Oct,Boxer Shorts Day and National Bandana Day,Wear boxer shorts outside of your clothes and as many bandanas as you can!,,,,,,
28-Oct,National Chocolate Day,"Have some chocolate fondue- see what the craziest combination you can think of is, and have a competition with your friends!",,,,,,
29-Oct,National Cat Day and National Oatmeal Day,"Have oatmeal with at least 3 toppings! Also, whenever you see a cat, go pet it(unless it's feral)",,,,,,
30-Oct,National Buy a Doughnut Day and National Candycorn Day and National Sugar Awareness Day,Buy a doughnut and some candy corn and then be aware of how much sugar you just bought.,,,,,,
31-Oct,National Magic and Increase Your Psychic Powers Day,Trick someone into thinking you have magical powers using fishing line.,,,,,,
1-Nov,National Go Cook for Your Pets Day,"Cook a 3-course meal for your pets. If you don't have pets, cook for someone else's pets",,,,,,
2-Nov,National Deviled Egg Day,"Have a deviled egg hunt- warning, if you don't find them all, something will start to smell",,,,,,
3-Nov,Sandwich Day,Go to the grocery store and make a sandwich with the first three random items you find,,,,,,
4-Nov,National Book Lovers Day and National Candy Day,"Grab a book and a sugary snack, and relax.",,,,,,
5-Nov,Commercial TV Broadcast Day,"Of the top current TV shows, pick one you haven't watched and watch until you get to a cliff hanger. Then see if you can go a week without watching the next episode.",,,,,,
6-Nov,Saxophone Day,Listen only to songs with saxophone solos for the whole day,,,,,,
7-Nov,National Bittersweet Chocolate with Almonds Day,Make the fanciest recipe you can find with both chocolate and almonds,,,,,,
8-Nov,Aid and abet punsters day,Talk only in puns. Make at least one every hour,,,,,,
9-Nov,Go to an art museum day,Go to the nearest art museum and try to imitate some of the silliest pieces of art you can find.,,,,,,
10-Nov,Sesame Street Day,Watch an episode of Sesame Street while snuggling with Cookie Monster and Elmo dolls,,,,,,
11-Nov,Origami Day and Sundae Day,"Take the closest candy you can find to paper and make origami out of it. Then, put it on top of an ice cream sundae.",,,,,,
12-Nov,National Pizza with the Works Except Anchovies Day,Roast a pizza with whatever toppings you want over a pile of burning anchovies.,,,,,,
13-Nov,National Indian Pudding Day,"Try to make homemade Indian pudding! If it doesn't turn out well, see if you can convince others to eat it.",,,,,,
14-Nov,National Pickle Day. ,Dress like a pickle and carry a jar with you all day. The only liquid you are allowed to drink is pickle juice(or water in an emergency),,,,,,
15-Nov,National Clean Out Your Refrigerator Day,"Pick 4 or more items from your fridge and make stir-fry. If you can, try to use everything in your fridge. ",,,,,,
16-Nov,Button Day,"Whenever you see a rempte, or anything with buttons, press every single button until you know what they all do. Bonus Points for watching Coraline!",,,,,,
17-Nov,Take a Hike Day,"Take a hike early in the morning. When you get back, talk pretentiously about how great the hike was and how ""at one with nature"" you feel with everyone you see for the rest of the day.",,,,,,
18-Nov,Occult Day,Take some tarot cards and convince someone they will die of a tricycle-related injury in the next 2 weeks.,,,,,,
19-Nov,Have a Bad Day Day,Listen to bad day by Daniel Powter on repeat and complain about everything bad that happens to you.,,,,,,
20-Nov,Absurdity Day,Eat your meals in reverse and wear a halloween costume all day that would be cute for a 7 year old but definitely was a bad idea. Chicken costumes are encouraged.,,,,,,
21-Nov,False Confession Day,Tell everyone you know a) you're dying of chicken pox b)you're pregnant with the Rock's baby(guys can say this as well) or c) you have a fear of pool tables due to a motorcycle accident.,,,,,,
22-Nov,Start Your Own Country Day,"Proclaim yourself leader of a country you name and pretend everyone you meet is your subjects. Crowns, thrones, and royal ceremonies are encouraged.",,,,,,
23-Nov,National Espresso Day,"Take 3 espresso shots in the morning and see how the day goes from there(if you want to really challenge yourself, either take more shots or take them throughout the day, just stay safe!)",,,,,,
24-Nov,Use Even if Seal is Broken Day,Take 3 items in your house that have a broken seal and use them in whichever way you can(bonus points for going to a grocery store and breaking a few seals- nothing too imortant though!),,,,,,
25-Nov,National Parfait Day,"Make a parfait with a random yogurt flavor, some type of fruit or vegetable, and something comparable to granola(up to you)- if you want a challenge, have someone else pick them and then try it blind.",,,,,,
26-Nov,National Cake Day and National Good Grief Day,"Make a Charlie Brown-themed cake- either in appearance, or in having constant misfortunes but still turning out okay in the end.",,,,,,
27-Nov,Pie in the Face Day,Either hit three people in the face with pies OR tell people to try to hit you in the face with a pie at some point during the day.,,,,,,
28-Nov,National French Toast Day,"Make or get French toast, then give it a beret and a fake moustache and anything else stereotypically French you can think of(in topping form of course) and then pretend it's speaking to you in an egregious French accent. Bonus points for doing this in public.",,,,,,
29-Nov,Electronic Greeting Card Day,Make at least three funny and random ecards and send them to people you haven't talked to in at least 6 months.,,,,,,
30-Nov,Stay at Home Because You're Well Day,"Stay at home all day and watch Ferris Bueller. If you were expected to do something, tell them you have Buellitis.",,,,,,
1-Dec,National Pie Day and Eat a Red Apple Day,Eat a pie made from red apples.,,,,,,
2-Dec,Business of Popping Corn Day,Make WAAAY too much popcorn and try to sell it to people. See what the highest price you can sell it for is.,,,,,,
3-Dec,National Green Bean Casserole Day,"Make a green bean casserole, but use 2 other types of beans as well.",,,,,,
4-Dec,Wear Brown Shoes Day,Wear every pair of brown shoes you own throughout the day. Tan counts.,,,,,,
5-Dec,International Ninja Day,"Dress in all black, and try to sneak around all day without being noticed. If you find a sparring partner, attempt lame martial arts battles. ",,,,,,
6-Dec,National Microwave Oven Day,Eat only food that has been prepared in a microwave oven. Then leave it a nice note and hug it so it feels appreciated.,,,,,,
7-Dec,National Cotton Candy Day,Spray paint cotton pink and see if you can convince someone to eat it.,,,,,,
8-Dec,National Brownie Day,"Make 5 different types of brownies, and have a competition with your friends to see who can correctly identify the most flavors in a blind taste test.",,,,,,
9-Dec,National Pastry Day,Find the strangest Pastry you can and convince someone to eat it with you. Then both review it like food critics(as in-depth as you can),,,,,,
10-Dec,Festival for the Souls of Dead Whales,"Decorate your home in whale decorations and pictures and watch Free Willy or that Sea World documentary. What's it called, Blackfish? I think that's it.",,,,,,
11-Dec,International Mountain Day,"If you live near a mountain, look at the mountain while holding a cup of coffee or other hot liquid. Take a sip and say ""wow, that's a nice mountain."" If you don't live near a mountiain, google a picture of one and do the same thing.",,,,,,
12-Dec,National Ambrosia Day,Make ambrosia and try to convince people it is actually the food of the gods.,,,,,,
13-Dec,Ice Cream Day and National Cocoa Day and National Violin Day,Have Ice cream and Hot Cocoa while listening to violin covers of your favorite songs.,,,,,,
14-Dec,Monkey Day,"Eat Bananas, swing from whatever you can find, and for bonus points, wear a monkey costume.",,,,,,
15-Dec,National Lemon Cupcake Day,Make a cupcake with a lemon slice inside and then eat it.,,,,,,
16-Dec,National Chocolate Covered Anything Day,Take at least 6 household items of someone you know and cover them in chocolate,,,,,,
17-Dec,National Maple Syrup Day,Have maple syrup on top of anything you eat and in anything you drink all day.,,,,,,
18-Dec,Answer the Phone Like Buddy the Elf Day,"Text a bunch of people you know ""hey, call me real quick"" and then when they call, pick up and answer like Buddy the elf.",,,,,,
19-Dec,Oatmeal Muffin Day,"Make a bunch of pastries with oatmeal in them. Muffins, cookies, even try bread if you feel so inclined.",,,,,,
20-Dec,Games Day,Play three of the most classic board games you can think of.,,,,,,
21-Dec,Don't Make Your Bed Day and National Look at the Bright Side Day,Don't make your bed and look at the bright side: it's ready for when you come back.,,,,,,
22-Dec,National Cookie Exchange Day,Get your friends to make a bunch of cookies and then you all trade them(bonus points if you each try to make the most disgusting cookie),,,,,,
23-Dec,National Roots Day,Choose a random country at least 1000 miles away from where your family comes from. Then convince people you have ancestry in that area.,,,,,,
24-Dec,National Egg Nog Day,Attempt to make egg nog and then share it with friends!,,,,,,
25-Dec,National Pumpkin Pie Day,Make pumpkin pie in the shape of an actual pumpkin.,,,,,,
26-Dec,National Whiners Day,"Whine about literally anything(for 21 and over, accompany with the wine of your choice)",,,,,,
27-Dec,National Fruitcake Day,Make Fruitcake with literal whole fruits.,,,,,,
28-Dec,Card Playing Day,Play 5 card games you've never tried before,,,,,,
29-Dec,Still Need To Do Day,Get everything you need to get done before New Years done today! Get ahead of the game!,,,,,,
30-Dec,National Bicarbonate of Soda Day,Spread baking soda wherever you can and pretend it snowed inside.,,,,,,
31-Dec,Make Up Your Mind Day,Make every decision you've been putting off so you can start fresh in the New Year.,,,,,,
,https://github.com/jamie714/dailyChallenge.git,,,,,,,
